,Coded input gas rate (cu. ft. / min.),Output concentration (% CO2)
1900-01-01 00:00:00,-0.109,53.8
1900-01-01 00:00:09,0.0,53.6
1900-01-01 00:00:18,0.178,53.5
1900-01-01 00:00:27,0.339,53.5
1900-01-01 00:00:36,0.373,53.4
1900-01-01 00:00:45,0.441,53.1
1900-01-01 00:00:54,0.461,52.7
1900-01-01 00:01:03,0.348,52.4
1900-01-01 00:01:12,0.127,52.2
1900-01-01 00:01:21,-0.18,52.0
1900-01-01 00:01:30,-0.588,52.0
1900-01-01 00:01:39,-1.055,52.4
1900-01-01 00:01:48,-1.421,53.0
1900-01-01 00:01:57,-1.52,54.0
1900-01-01 00:02:06,-1.302,54.9
1900-01-01 00:02:15,-0.814,56.0
1900-01-01 00:02:24,-0.475,56.8
1900-01-01 00:02:33,-0.193,56.8
1900-01-01 00:02:42,0.088,56.4
1900-01-01 00:02:51,0.435,55.7
1900-01-01 00:03:00,0.771,55.0
1900-01-01 00:03:09,0.866,54.3
1900-01-01 00:03:18,0.875,53.2
1900-01-01 00:03:27,0.891,52.3
1900-01-01 00:03:36,0.987,51.6
1900-01-01 00:03:45,1.263,51.2
1900-01-01 00:03:54,1.775,50.8
1900-01-01 00:04:03,1.976,50.5
1900-01-01 00:04:12,1.934,50.0
1900-01-01 00:04:21,1.866,49.2
1900-01-01 00:04:30,1.832,48.4
1900-01-01 00:04:39,1.767,47.9
1900-01-01 00:04:48,1.608,47.6
1900-01-01 00:04:57,1.265,47.5
1900-01-01 00:05:06,0.79,47.5
1900-01-01 00:05:15,0.36,47.6
1900-01-01 00:05:24,0.115,48.1
1900-01-01 00:05:33,0.088,49.0
1900-01-01 00:05:42,0.331,50.0
1900-01-01 00:05:51,0.645,51.1
1900-01-01 00:06:00,0.96,51.8
1900-01-01 00:06:09,1.409,51.9
1900-01-01 00:06:18,2.67,51.7
1900-01-01 00:06:27,2.834,51.2
1900-01-01 00:06:36,2.812,50.0
1900-01-01 00:06:45,2.483,48.3
1900-01-01 00:06:54,1.929,47.0
1900-01-01 00:07:03,1.485,45.8
1900-01-01 00:07:12,1.214,45.6
1900-01-01 00:07:21,1.239,46.0
1900-01-01 00:07:30,1.608,46.9
1900-01-01 00:07:39,1.905,47.8
1900-01-01 00:07:48,2.023,48.2
1900-01-01 00:07:57,1.815,48.3
1900-01-01 00:08:06,0.535,47.9
1900-01-01 00:08:15,0.122,47.2
1900-01-01 00:08:24,0.009,47.2
1900-01-01 00:08:33,0.164,48.1
1900-01-01 00:08:42,0.671,49.4
1900-01-01 00:08:51,1.019,50.6
1900-01-01 00:09:00,1.146,51.5
1900-01-01 00:09:09,1.155,51.6
1900-01-01 00:09:18,1.112,51.2
1900-01-01 00:09:27,1.121,50.5
1900-01-01 00:09:36,1.223,50.1
1900-01-01 00:09:45,1.257,49.8
1900-01-01 00:09:54,1.157,49.6
1900-01-01 00:10:03,0.913,49.4
1900-01-01 00:10:12,0.62,49.3
1900-01-01 00:10:21,0.255,49.2
1900-01-01 00:10:30,-0.28,49.3
1900-01-01 00:10:39,-1.08,49.7
1900-01-01 00:10:48,-1.551,50.3
1900-01-01 00:10:57,-1.799,51.3
1900-01-01 00:11:06,-1.825,52.8
1900-01-01 00:11:15,-1.456,54.4
1900-01-01 00:11:24,-0.944,56.0
1900-01-01 00:11:33,-0.57,56.9
1900-01-01 00:11:42,-0.431,57.5
1900-01-01 00:11:51,-0.577,57.3
1900-01-01 00:12:00,-0.96,56.6
1900-01-01 00:12:09,-1.616,56.0
1900-01-01 00:12:18,-1.875,55.4
1900-01-01 00:12:27,-1.891,55.4
1900-01-01 00:12:36,-1.746,56.4
1900-01-01 00:12:45,-1.474,57.2
1900-01-01 00:12:54,-1.201,58.0
1900-01-01 00:13:03,-0.927,58.4
1900-01-01 00:13:12,-0.524,58.4
1900-01-01 00:13:21,0.04,58.1
1900-01-01 00:13:30,0.788,57.7
1900-01-01 00:13:39,0.943,57.0
1900-01-01 00:13:48,0.93,56.0
1900-01-01 00:13:57,1.006,54.7
1900-01-01 00:14:06,1.137,53.2
1900-01-01 00:14:15,1.198,52.1
1900-01-01 00:14:24,1.054,51.6
1900-01-01 00:14:33,0.595,51.0
1900-01-01 00:14:42,-0.08,50.5
1900-01-01 00:14:51,-0.314,50.4
1900-01-01 00:15:00,-0.288,51.0
1900-01-01 00:15:09,-0.153,51.8
1900-01-01 00:15:18,-0.109,52.4
1900-01-01 00:15:27,-0.187,53.0
1900-01-01 00:15:36,-0.255,53.4
1900-01-01 00:15:45,-0.229,53.6
1900-01-01 00:15:54,-0.007,53.7
1900-01-01 00:16:03,0.254,53.8
1900-01-01 00:16:12,0.33,53.8
1900-01-01 00:16:21,0.102,53.8
1900-01-01 00:16:30,-0.423,53.3
1900-01-01 00:16:39,-1.139,53.0
1900-01-01 00:16:48,-2.275,52.9
1900-01-01 00:16:57,-2.594,53.4
1900-01-01 00:17:06,-2.716,54.6
1900-01-01 00:17:15,-2.51,56.4
1900-01-01 00:17:24,-1.79,58.0
1900-01-01 00:17:33,-1.346,59.4
1900-01-01 00:17:42,-1.081,60.2
1900-01-01 00:17:51,-0.91,60.0
1900-01-01 00:18:00,-0.876,59.4
1900-01-01 00:18:09,-0.885,58.4
1900-01-01 00:18:18,-0.8,57.6
1900-01-01 00:18:27,-0.544,56.9
1900-01-01 00:18:36,-0.416,56.4
1900-01-01 00:18:45,-0.271,56.0
1900-01-01 00:18:54,0.0,55.7
1900-01-01 00:19:03,0.403,55.3
1900-01-01 00:19:12,0.841,55.0
1900-01-01 00:19:21,1.285,54.4
1900-01-01 00:19:30,1.607,53.7
1900-01-01 00:19:39,1.746,52.8
1900-01-01 00:19:48,1.683,51.6
1900-01-01 00:19:57,1.485,50.6
1900-01-01 00:20:06,0.993,49.4
1900-01-01 00:20:15,0.648,48.8
1900-01-01 00:20:24,0.577,48.5
1900-01-01 00:20:33,0.577,48.7
1900-01-01 00:20:42,0.632,49.2
1900-01-01 00:20:51,0.747,49.8
1900-01-01 00:21:00,0.9,50.4
1900-01-01 00:21:09,0.993,50.7
1900-01-01 00:21:18,0.968,50.9
1900-01-01 00:21:27,0.79,50.7
1900-01-01 00:21:36,0.399,50.5
1900-01-01 00:21:45,-0.161,50.4
1900-01-01 00:21:54,-0.553,50.2
1900-01-01 00:22:03,-0.603,50.4
1900-01-01 00:22:12,-0.424,51.2
1900-01-01 00:22:21,-0.194,52.3
1900-01-01 00:22:30,-0.049,53.2
1900-01-01 00:22:39,0.06,53.9
1900-01-01 00:22:48,0.161,54.1
1900-01-01 00:22:57,0.301,54.0
1900-01-01 00:23:06,0.517,53.6
1900-01-01 00:23:15,0.566,53.2
1900-01-01 00:23:24,0.56,53.0
1900-01-01 00:23:33,0.573,52.8
1900-01-01 00:23:42,0.592,52.3
1900-01-01 00:23:51,0.671,51.9
1900-01-01 00:24:00,0.933,51.6
1900-01-01 00:24:09,1.337,51.6
1900-01-01 00:24:18,1.46,51.4
1900-01-01 00:24:27,1.353,51.2
1900-01-01 00:24:36,0.772,50.7
1900-01-01 00:24:45,0.218,50.0
1900-01-01 00:24:54,-0.237,49.4
1900-01-01 00:25:03,-0.714,49.3
1900-01-01 00:25:12,-1.099,49.7
1900-01-01 00:25:21,-1.269,50.6
1900-01-01 00:25:30,-1.175,51.8
1900-01-01 00:25:39,-0.676,53.0
1900-01-01 00:25:48,0.033,54.0
1900-01-01 00:25:57,0.556,55.3
1900-01-01 00:26:06,0.643,55.9
1900-01-01 00:26:15,0.484,55.9
1900-01-01 00:26:24,0.109,54.6
1900-01-01 00:26:33,-0.31,53.5
1900-01-01 00:26:42,-0.697,52.4
1900-01-01 00:26:51,-1.047,52.1
1900-01-01 00:27:00,-1.218,52.3
1900-01-01 00:27:09,-1.183,53.0
1900-01-01 00:27:18,-0.873,53.8
1900-01-01 00:27:27,-0.336,54.6
1900-01-01 00:27:36,0.063,55.4
1900-01-01 00:27:45,0.084,55.9
1900-01-01 00:27:54,0.0,55.9
1900-01-01 00:28:03,0.001,55.2
1900-01-01 00:28:12,0.209,54.4
1900-01-01 00:28:21,0.556,53.7
1900-01-01 00:28:30,0.782,53.6
1900-01-01 00:28:39,0.858,53.6
1900-01-01 00:28:48,0.918,53.2
1900-01-01 00:28:57,0.862,52.5
1900-01-01 00:29:06,0.416,52.0
1900-01-01 00:29:15,-0.336,51.4
1900-01-01 00:29:24,-0.959,51.0
1900-01-01 00:29:33,-1.813,50.9
1900-01-01 00:29:42,-2.378,52.4
1900-01-01 00:29:51,-2.499,53.5
1900-01-01 00:30:00,-2.473,55.6
1900-01-01 00:30:09,-2.33,58.0
1900-01-01 00:30:18,-2.053,59.5
1900-01-01 00:30:27,-1.739,60.0
1900-01-01 00:30:36,-1.261,60.4
1900-01-01 00:30:45,-0.569,60.5
1900-01-01 00:30:54,-0.137,60.2
1900-01-01 00:31:03,-0.024,59.7
1900-01-01 00:31:12,-0.05,59.0
1900-01-01 00:31:21,-0.135,57.6
1900-01-01 00:31:30,-0.276,56.4
1900-01-01 00:31:39,-0.534,55.2
1900-01-01 00:31:48,-0.871,54.5
1900-01-01 00:31:57,-1.243,54.1
1900-01-01 00:32:06,-1.439,54.1
1900-01-01 00:32:15,-1.422,54.4
1900-01-01 00:32:24,-1.175,55.5
1900-01-01 00:32:33,-0.813,56.2
1900-01-01 00:32:42,-0.634,57.0
1900-01-01 00:32:51,-0.582,57.3
1900-01-01 00:33:00,-0.625,57.4
1900-01-01 00:33:09,-0.713,57.0
1900-01-01 00:33:18,-0.848,56.4
1900-01-01 00:33:27,-1.039,55.9
1900-01-01 00:33:36,-1.346,55.5
1900-01-01 00:33:45,-1.628,55.3
1900-01-01 00:33:54,-1.619,55.2
1900-01-01 00:34:03,-1.149,55.4
1900-01-01 00:34:12,-0.488,56.0
1900-01-01 00:34:21,-0.16,56.5
1900-01-01 00:34:30,-0.007,57.1
1900-01-01 00:34:39,-0.092,57.3
1900-01-01 00:34:48,-0.62,56.8
1900-01-01 00:34:57,-1.086,55.6
1900-01-01 00:35:06,-1.525,55.0
1900-01-01 00:35:15,-1.858,54.1
1900-01-01 00:35:24,-2.029,54.3
1900-01-01 00:35:33,-2.024,55.3
1900-01-01 00:35:42,-1.961,56.4
1900-01-01 00:35:51,-1.952,57.2
1900-01-01 00:36:00,-1.794,57.8
1900-01-01 00:36:09,-1.302,58.3
1900-01-01 00:36:18,-1.03,58.6
1900-01-01 00:36:27,-0.918,58.8
1900-01-01 00:36:36,-0.798,58.8
1900-01-01 00:36:45,-0.867,58.6
1900-01-01 00:36:54,-1.047,58.0
1900-01-01 00:37:03,-1.123,57.4
1900-01-01 00:37:12,-0.876,57.0
1900-01-01 00:37:21,-0.395,56.4
1900-01-01 00:37:30,0.185,56.3
1900-01-01 00:37:39,0.662,56.4
1900-01-01 00:37:48,0.709,56.4
1900-01-01 00:37:57,0.605,56.0
1900-01-01 00:38:06,0.501,55.2
1900-01-01 00:38:15,0.603,54.0
1900-01-01 00:38:24,0.943,53.0
1900-01-01 00:38:33,1.223,52.0
1900-01-01 00:38:42,1.249,51.6
1900-01-01 00:38:51,0.824,51.6
1900-01-01 00:39:00,0.102,51.1
1900-01-01 00:39:09,0.025,50.4
1900-01-01 00:39:18,0.382,50.0
1900-01-01 00:39:27,0.922,50.0
1900-01-01 00:39:36,1.032,52.0
1900-01-01 00:39:45,0.866,54.0
1900-01-01 00:39:54,0.527,55.1
1900-01-01 00:40:03,0.093,54.5
1900-01-01 00:40:12,-0.458,52.8
1900-01-01 00:40:21,-0.748,51.4
1900-01-01 00:40:30,-0.947,50.8
1900-01-01 00:40:39,-1.029,51.2
1900-01-01 00:40:48,-0.928,52.0
1900-01-01 00:40:57,-0.645,52.8
1900-01-01 00:41:06,-0.424,53.8
1900-01-01 00:41:15,-0.276,54.5
1900-01-01 00:41:24,-0.158,54.9
1900-01-01 00:41:33,-0.033,54.9
1900-01-01 00:41:42,0.102,54.8
1900-01-01 00:41:51,0.251,54.4
1900-01-01 00:42:00,0.28,53.7
1900-01-01 00:42:09,0.0,53.3
1900-01-01 00:42:18,-0.493,52.8
1900-01-01 00:42:27,-0.759,52.6
1900-01-01 00:42:36,-0.824,52.6
1900-01-01 00:42:45,-0.74,53.0
1900-01-01 00:42:54,-0.528,54.3
1900-01-01 00:43:03,-0.204,56.0
1900-01-01 00:43:12,0.034,57.0
1900-01-01 00:43:21,0.204,58.0
1900-01-01 00:43:30,0.253,58.6
1900-01-01 00:43:39,0.195,58.5
1900-01-01 00:43:48,0.131,58.3
1900-01-01 00:43:57,0.017,57.8
1900-01-01 00:44:06,-0.182,57.3
1900-01-01 00:44:15,-0.262,57.0
